text,intent,label
what alarms do i have set right now,alarm_query,0
checkout today alarm of meeting,alarm_query,0
report alarm settings,alarm_query,0
see see for me the alarms that you have set tomorrow morning,alarm_query,0
is there an alarm for ten am,alarm_query,0
confirm the alarm time,alarm_query,0
show my alarms,alarm_query,0
at what time have you set alarm for me,alarm_query,0
please list active alarms,alarm_query,0
please tell me about upcoming alarms,alarm_query,0
what alarms have i set for tomorrow,alarm_query,0
have i set any alarm for today,alarm_query,0
what alarms do you have set,alarm_query,0
show me all scheduled alarms,alarm_query,0
could you tell me about the alerts i have set,alarm_query,0
show me my alarms i have set,alarm_query,0
do i have any alarms for tomorrow morning,alarm_query,0
what alarm do i have set for today,alarm_query,0
what alarms have been set for me,alarm_query,0
list all set alarms,alarm_query,0
please tell me my alarms,alarm_query,0
what is the wake up time for my alarm i have set for the flight this weekend,alarm_query,0
did i set an alarm to wake up in the morning,alarm_query,0
what times do my alarms go off,alarm_query,0
what time is my wakeup alarm set for,alarm_query,0
please read out all the alarms that are set,alarm_query,0
what time are my alarms set for,alarm_query,0
how many alarms do i have set,alarm_query,0
are there any alarms currently set,alarm_query,0
confirm alarm for tomorrow morning,alarm_query,0
do i have an alarm set for morning flight,alarm_query,0
what's my next scheduled alarm,alarm_query,0
do i have any alarms set for tomorrow,alarm_query,0
please check alarms,alarm_query,0
what alarms do i have set,alarm_query,0
do i have an alarm set,alarm_query,0
show me the list of alarms,alarm_query,0
just to confirm you set the alarm to go off at eight hundred,alarm_query,0
did i set my house alarm,alarm_query,0
what are the next three alarms set to go off,alarm_query,0
check if alarm is set for six am,alarm_query,0
is the alarm to the backdoor set and ready to go,alarm_query,0
what time do i have my alarm set for tomorrow,alarm_query,0
what's the description for the alarm at eleven am,alarm_query,0
are there any alarms set,alarm_query,0
are there any alarms set right now,alarm_query,0
are there any alarms,alarm_query,0
do i have alarms set for today,alarm_query,0
how many alarms are listed,alarm_query,0
remind me about my alarms today,alarm_query,0
list alarms,alarm_query,0
how many alarms do i have,alarm_query,0
just see for me the alarms that you have set today morning,alarm_query,0
what alarms are on right now,alarm_query,0
please tell about the alarms,alarm_query,0
review set alarms,alarm_query,0
is my work alarm set for tomorrow,alarm_query,0
what alarms are set,alarm_query,0
what time are my alarms,alarm_query,0
which alarms are set in the phone,alarm_query,0
is my alarm set for tomorrow morning,alarm_query,0
check if any alarm is there after five am,alarm_query,0
what alarms do i have set for thursday,alarm_query,0
checkout today set alarm of ten am,alarm_query,0
is my school alarm set,alarm_query,0
tell me if my alarm is set for the morning,alarm_query,0
do i have an alarm set for tomorrow,alarm_query,0
what alarms do i have,alarm_query,0
when was the last alarm set,alarm_query,0
today how many alarms do i have set,alarm_query,0
how many alarms do i have set for morning hours between six and nine am,alarm_query,0
what is tomorrow's alarm time set to,alarm_query,0
please let me know the morning alarm time for weekdays,alarm_query,0
read me my alarms,alarm_query,0
is there any alarm after five am,alarm_query,0
what days are my alarms set for,alarm_query,0
confirm i have set an alarm for six am,alarm_query,0
what alarms did i set,alarm_query,0
what alarms do i got,alarm_query,0
show me the alarms that are set,alarm_query,0
tell me about alarms,alarm_query,0
checkout today third set alarm,alarm_query,0
how many alarms are currently set,alarm_query,0
are there any alarms set what are they,alarm_query,0
is my alarm set,alarm_query,0
tell me what alarms are set for me,alarm_query,0
next alarm,alarm_query,0
when is the next alarm,alarm_query,0
show alarms,alarm_query,0
let me know about any alarms set today,alarm_query,0
confirm my alarm settings,alarm_query,0
give me the alarm times for the next two days,alarm_query,0
what alarms are set in the house,alarm_query,0
do i have any alarms,alarm_query,0
have i set any alarms in the morning,alarm_query,0
check if i have set any alarm for morning,alarm_query,0
list all of my upcoming alarms,alarm_query,0
my alarms,alarm_query,0
do i have any alarms set for six am tomorrow,alarm_query,0
how many alarms are currently on my phone,alarm_query,0
any alarms currently listed,alarm_query,0
did i remember to set a reminder alarm for my next doctor's appointment,alarm_query,0
what time is set for my wake up alarm,alarm_query,0
what alarms are set for this week,alarm_query,0
what is on my alarm schedule,alarm_query,0
show me all of my active alarms,alarm_query,0
what alarms are currently set,alarm_query,0
review the alarms i have,alarm_query,0
what's the alarm situation for tomorrow,alarm_query,0
i want to see all set alarms,alarm_query,0
do i have an alarm set for today,alarm_query,0
at what time is my alarm set,alarm_query,0
can you tell me if i have any alarms set,alarm_query,0
did I set an alarm to have tablets in the noon,alarm_query,0
which alarms do i have,alarm_query,0
show me the alarms i set,alarm_query,0
what time is my alarm set for,alarm_query,0
is my wake up alarm set a six am,alarm_query,0
what home alarms have been set,alarm_query,0
please read me my alarms,alarm_query,0
what times are my alarms set for,alarm_query,0
when will my alarm go off in the morning,alarm_query,0
do i have any alarms set for today,alarm_query,0
show me what alarm times i've set for the week,alarm_query,0
list current set alarms,alarm_query,0
are there any alarms going off today,alarm_query,0
show me the alarms i've set,alarm_query,0
my set alarms,alarm_query,0
what alarms will wake me up tomorrow,alarm_query,0
have i got any alarms set,alarm_query,0
what alarms i have set,alarm_query,0
tell me about the alarm timings,alarm_query,0
alarms,alarm_query,0
when does my alarm go off,alarm_query,0
would you please check to see if i've set my alarm for tomorrow morning,alarm_query,0
alarm status,alarm_query,0
what time have you set the alarm,alarm_query,0
list my different alarm,alarm_query,0
what time i am waking up tomorrow,alarm_query,0
what alarms did i set today,alarm_query,0
what alarms are coming up,alarm_query,0
if there any alarm is set then let me know,alarm_query,0
review all alarms,alarm_query,0
is the alarm set for tomorrow morning,alarm_query,0
what time is alarm set for,alarm_query,0
do i have alarms set,alarm_query,0
what time is my alarm set for tomorrow morning,alarm_query,0
is my reminder alarm set for dance class,alarm_query,0
when is my alarm set for,alarm_query,0
what time will my alarm wake me up,alarm_query,0
how many alarms are set,alarm_query,0
how many alarms have i set,alarm_query,0
what time will my alarm go off today,alarm_query,0
please let me know the alarm kept for tuesday's meeting,alarm_query,0
let me know about the alarms you set,alarm_query,0
what alarms do i have set for today,alarm_query,0
what's my next alarm,alarm_query,0
let me see my alarms,alarm_query,0
delete alarm,alarm_remove,1
remove the latest alarm,alarm_remove,1
stop wake up calls for this week,alarm_remove,1
remove the first alarm,alarm_remove,1
remove my earliest alarm for tomorrow,alarm_remove,1
kickball is over i do not need the alarm for kickball on wednesday evening any longer,alarm_remove,1
remove all alarms,alarm_remove,1
take off my alarms,alarm_remove,1
cancel my seven am alarm,alarm_remove,1
disable all alarms set for today,alarm_remove,1
olly cancel alarms,alarm_remove,1
snooze all today's alarms permanently,alarm_remove,1
remove my work alarm,alarm_remove,1
one pm removed,alarm_remove,1
olly cancel yoga alarms,alarm_remove,1
do not wake me up on weekends,alarm_remove,1
remove wake up calls for this week,alarm_remove,1
cancel my alarm for tomorrow morning,alarm_remove,1
reset the alarm,alarm_remove,1
remove tomorrow's alarm,alarm_remove,1
remove my four am alarm,alarm_remove,1
cancel my eight am alarm,alarm_remove,1
delete the meeting alarm at two pm on tuesday,alarm_remove,1
please remove this alarm,alarm_remove,1
remove six am alarm of whole week for future,alarm_remove,1
twelve am removed,alarm_remove,1
cancel my three pm alarm,alarm_remove,1
please remove the alarm which i set for today morning,alarm_remove,1
cancel alarm for tomorrow,alarm_remove,1
remove number three alarm of list,alarm_remove,1
cancel wake up calls for this week,alarm_remove,1
please remove the the alarm which i set,alarm_remove,1
Get rid of my current alarms,alarm_remove,1
please remove the alarm that is set for weekdays at nine,alarm_remove,1
remove tuesday alarm of nine am,alarm_remove,1
get rid of my eight am alarm,alarm_remove,1
clear my nine am alarms,alarm_remove,1
remove alarm of six am on tuesday,alarm_remove,1
turn off all of my alarms,alarm_remove,1
get rid of my wake up alarm set for saturday,alarm_remove,1
disable alarm for three pm,alarm_remove,1
remove set alarm,alarm_remove,1
remove the alarm set for ten pm,alarm_remove,1
remove all alarm of sunday,alarm_remove,1
do not wake me up tomorrow,alarm_remove,1
please remove the alarm set for wednesday called kickball,alarm_remove,1
forget alarm,alarm_remove,1
set off this alarm,alarm_remove,1
turn off my alarm,alarm_remove,1
cancel all alarms,alarm_remove,1
remove all alarms set today,alarm_remove,1
two am removed,alarm_remove,1
take away my alarm for tomorrow at four thirty am,alarm_remove,1
turn off any morning alarms after Friday,alarm_remove,1
please remove any alarms that i have set,alarm_remove,1
remove my wake up alarm,alarm_remove,1
change my alarm,alarm_remove,1
please turn off my alarm for this evening,alarm_remove,1
turn off the alarm for tomorrow morning,alarm_remove,1
change the alarm weekly settings,alarm_remove,1
remove my early alarms,alarm_remove,1
please remove my alarm,alarm_remove,1
get rid of the five pm alarm,alarm_remove,1
disable the first alarm,alarm_remove,1
i would like this alarm permanently removed,alarm_remove,1
remove all alarms if any,alarm_remove,1
i no longer need the daily five pm alarm,alarm_remove,1
remove the alarm set for four hundred am,alarm_remove,1
stop seven am alarm,alarm_remove,1
disable my three pm alarm,alarm_remove,1
remove my bedtime alarm,alarm_remove,1
turn off all alarms,alarm_remove,1
remove alarms set for tomorrow,alarm_remove,1
olly cancel all soccer practice alarms,alarm_remove,1
remove my eight pm alarm and set it to seven pm,alarm_remove,1
remove alarm if any,alarm_remove,1
cancel the alarm that is set for tomorrow at eight am,alarm_remove,1
delete the first alarm,alarm_remove,1
remove alarm,alarm_remove,1
unset all alarm which is set,alarm_remove,1
can you please remove the alarm,alarm_remove,1
cancel alarm for tenth of march two thousand seventeen,alarm_remove,1
this alarm needs to be permanently silenced,alarm_remove,1
remove the alarm for tomorrow,alarm_remove,1
i dont want any alarms,alarm_remove,1
delete my eight pm alarm,alarm_remove,1
remove finlee's bedtime alarm,alarm_remove,1
reset alarm,alarm_remove,1
remove the alarm,alarm_remove,1
remove my morning alarm,alarm_remove,1
delete my alarm for eight am,alarm_remove,1
remove my alarm for tomorrow morning,alarm_remove,1
remove seven am alarm,alarm_remove,1
cancel the alarm at four am ten pm,alarm_remove,1
turn off the alarm,alarm_remove,1
snooze,alarm_remove,1
Set a alarm for the day,alarm_set,2
set an alarm for tomorrow at six in the morning,alarm_set,2
put an alarm and wake me up at six am tomorrow morning,alarm_set,2
set alarm at five am,alarm_set,2
update alarm,alarm_set,2
set new alarm on five am,alarm_set,2
please set alarm for,alarm_set,2
please arrange to wake me up at three am alarm,alarm_set,2
set the alarm for tomorrow five am,alarm_set,2
set an alarm for me at eight am,alarm_set,2
set an alarm forty minutes from now,alarm_set,2
set an alarm for me for tomorrow at seven pm,alarm_set,2
set an alarm for two pm,alarm_set,2
set an alarm for five minutes from now,alarm_set,2
set alarm for tomorrow morning at six am,alarm_set,2
i want an alarm for three today,alarm_set,2
set alarm at nine am on next sunday,alarm_set,2
set alarm for eight am,alarm_set,2
set a continuous alarm without the option to snooze for seven am please,alarm_set,2
please set an alarm for tomorrows meeting at seven am,alarm_set,2
set an alarm for eight pm,alarm_set,2
set my calendar for an alarm at five pm tuesday,alarm_set,2
turn my morning alarm on,alarm_set,2
tell me when it is five pm,alarm_set,2
two pm set,alarm_set,2
set alarm for six am tomorrow,alarm_set,2
set up an alarm clock at one pm,alarm_set,2
i need to get up at seven am,alarm_set,2
i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set,2
let me know when it is ten,alarm_set,2
set the alarm for five am,alarm_set,2
set alarm of every tuesday of march month morning eight am,alarm_set,2
wake me up at six am,alarm_set,2
set a new alarm for that time,alarm_set,2
set alarm for one hour from now,alarm_set,2
schedule an alarm for next weeks dentist appointment,alarm_set,2
alarm for ten am,alarm_set,2
please we're the following alarm,alarm_set,2
set an alarm for the dance classes two hours before the classes start,alarm_set,2
set my alarm for twelve pm,alarm_set,2
wake me up at five am,alarm_set,2
